step,agent_id,performance_score,llm_response,decision_action,decision_priority,decision_patients_assigned,decision_estimated_duration
0,senior_doctor,0.8282852468461723,医生进行常规查房，安排3名患者，预计45分钟完成,routine_checkup,normal,3,45
1,senior_doctor,0.8068719627300533,医生进行常规查房，安排3名患者，预计45分钟完成,routine_checkup,normal,3,45
2,senior_doctor,0.752868536663928,医生进行常规查房，安排3名患者，预计45分钟完成,routine_checkup,normal,3,45
3,senior_doctor,0.7357276210087446,医生进行常规查房，安排3名患者，预计45分钟完成,routine_checkup,normal,3,45
4,senior_doctor,0.7477966870217428,医生进行常规查房，安排3名患者，预计45分钟完成,routine_checkup,normal,3,45
5,senior_doctor,0.928568635369035,医生进行常规查房，安排3名患者，预计45分钟完成,routine_checkup,normal,3,45
6,senior_doctor,0.7154427924524742,医生进行常规查房，安排3名患者，预计45分钟完成,routine_checkup,normal,3,45
7,senior_doctor,0.5666762370916235,医生进行常规查房，安排3名患者，预计45分钟完成,routine_checkup,normal,3,45
8,senior_doctor,0.9092072251781584,医生响应紧急情况，处理5名急诊患者，预计90分钟,emergency_response,urgent,5,90
9,senior_doctor,0.8806926246940355,医生响应紧急情况，处理5名急诊患者，预计90分钟,emergency_response,urgent,5,90
10,senior_doctor,0.90649742688561,医生响应紧急情况，处理5名急诊患者，预计90分钟,emergency_response,urgent,5,90
11,senior_doctor,0.9053492630403361,医生响应紧急情况，处理5名急诊患者，预计90分钟,emergency_response,urgent,5,90
12,senior_doctor,0.8957872173119891,医生响应紧急情况，处理5名急诊患者，预计90分钟,emergency_response,urgent,5,90
13,senior_doctor,0.9612149949924074,医生响应紧急情况，处理5名急诊患者，预计90分钟,emergency_response,urgent,5,90
14,senior_doctor,0.8627876276787331,医生响应紧急情况，处理5名急诊患者，预计90分钟,emergency_response,urgent,5,90
15,senior_doctor,0.8299465015359324,医生监控患者康复情况，跟进4名患者,recovery_monitoring,normal,4,60
16,senior_doctor,0.7935997648104175,医生监控患者康复情况，跟进4名患者,recovery_monitoring,normal,4,60
17,senior_doctor,0.7139221005354522,医生监控患者康复情况，跟进4名患者,recovery_monitoring,normal,4,60
18,senior_doctor,0.9337009100900244,医生监控患者康复情况，跟进4名患者,recovery_monitoring,normal,4,60
19,senior_doctor,0.7369831349422319,医生监控患者康复情况，跟进4名患者,recovery_monitoring,normal,4,60
20,senior_doctor,1.0,医生监控患者康复情况，跟进4名患者,recovery_monitoring,normal,4,60
21,senior_doctor,0.9555055366456853,医生监控患者康复情况，跟进4名患者,recovery_monitoring,normal,4,60
22,senior_doctor,0.7962015649004474,医生监控患者康复情况，跟进4名患者,recovery_monitoring,normal,4,60
23,senior_doctor,0.8586910162263653,医生监控患者康复情况，跟进4名患者,recovery_monitoring,normal,4,60
24,senior_doctor,0.8736497029352892,医生监控患者康复情况，跟进4名患者,recovery_monitoring,normal,4,60
