step,agent_id,performance_score,llm_response,decision_action,decision_estimated_duration,decision_patients_assigned,decision_priority
0,senior_doctor,0.8139220480665765,医生进行常规查房，安排3名患者，预计45分钟完成,routine_checkup,45,3,normal
1,senior_doctor,0.8207026363611333,医生进行常规查房，安排3名患者，预计45分钟完成,routine_checkup,45,3,normal
2,senior_doctor,0.5564094232512381,医生进行常规查房，安排3名患者，预计45分钟完成,routine_checkup,45,3,normal
3,senior_doctor,0.7420421772034747,医生进行常规查房，安排3名患者，预计45分钟完成,routine_checkup,45,3,normal
4,senior_doctor,0.8469370423233581,医生进行常规查房，安排3名患者，预计45分钟完成,routine_checkup,45,3,normal
5,senior_doctor,0.9848958685931061,医生进行常规查房，安排3名患者，预计45分钟完成,routine_checkup,45,3,normal
6,senior_doctor,0.822712469227493,医生进行常规查房，安排3名患者，预计45分钟完成,routine_checkup,45,3,normal
7,senior_doctor,0.6978994082670551,医生进行常规查房，安排3名患者，预计45分钟完成,routine_checkup,45,3,normal
8,senior_doctor,1.0,医生响应紧急情况，处理5名急诊患者，预计90分钟,emergency_response,90,5,urgent
9,senior_doctor,0.9432000317321132,医生响应紧急情况，处理5名急诊患者，预计90分钟,emergency_response,90,5,urgent
10,senior_doctor,0.9418759756943049,医生响应紧急情况，处理5名急诊患者，预计90分钟,emergency_response,90,5,urgent
11,senior_doctor,0.9450641819401647,医生响应紧急情况，处理5名急诊患者，预计90分钟,emergency_response,90,5,urgent
12,senior_doctor,0.9231170973353049,医生响应紧急情况，处理5名急诊患者，预计90分钟,emergency_response,90,5,urgent
13,senior_doctor,1.0,医生响应紧急情况，处理5名急诊患者，预计90分钟,emergency_response,90,5,urgent
14,senior_doctor,0.886050576865671,医生响应紧急情况，处理5名急诊患者，预计90分钟,emergency_response,90,5,urgent
15,senior_doctor,0.6824991574866537,医生监控患者康复情况，跟进4名患者,recovery_monitoring,60,4,normal
16,senior_doctor,0.949226418718839,医生监控患者康复情况，跟进4名患者,recovery_monitoring,60,4,normal
17,senior_doctor,0.7039014292432237,医生监控患者康复情况，跟进4名患者,recovery_monitoring,60,4,normal
18,senior_doctor,0.8155605388554096,医生监控患者康复情况，跟进4名患者,recovery_monitoring,60,4,normal
19,senior_doctor,0.7816252815265938,医生监控患者康复情况，跟进4名患者,recovery_monitoring,60,4,normal
20,senior_doctor,0.9352995700312017,医生监控患者康复情况，跟进4名患者,recovery_monitoring,60,4,normal
21,senior_doctor,0.8131153238376966,医生监控患者康复情况，跟进4名患者,recovery_monitoring,60,4,normal
22,senior_doctor,0.8013146704402461,医生监控患者康复情况，跟进4名患者,recovery_monitoring,60,4,normal
23,senior_doctor,0.8751259683536121,医生监控患者康复情况，跟进4名患者,recovery_monitoring,60,4,normal
24,senior_doctor,0.927374371523314,医生监控患者康复情况，跟进4名患者,recovery_monitoring,60,4,normal
